,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid
46,643820,CC(=CCCC(=CCO)C)C,16008578,L,,154.253,13849989
47,79302,CCC(C)(C)C1CCC(CC1)O,249586,L,,170.296,71624
48,3083855,COC(=O)CCCCCO,6274124,L,,146.186,2341002
49,32786,CC1=CC(=CC(=C1)C(=O)OC)C,8904378,L,,164.204,30388
50,247667,CCOC(=O)CC1CCCC1,8947756,L,,156.225,216809
51,22448154,CCOC(=O)C1=C(C(=CC=C1)C)C,8947842,L,,178.231,13451005
52,15247548,COCC1=CC=C(C=C1)C(=O)OC,8954989,L,,180.203,11569792
53,12777406,CCCCCC(=O)CC(=O)C(=O)OCC,10652650,L,,214.261,14425946
54,12441329,CCCCCC(=O)CCC(=O)OCC,10910614,L,,200.278,14909291
55,559036,CCCCC(=O)CC(=O)OCC,15855371,L,,172.224,485973
56,23005363,B(C1=CC(=CC=C1)C(=O)OCCC)(O)O,4113801,S,,208.02,12951173
57,10219606,CC1(C2CC1C(C(C2)O)(C)O)C,5256255,S,,170.252,55886
58,10459,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,15839798,S,,286.412,10027
59,74300,C(CCCCC(=O)O)CCCCO,15856518,S,,188.267,66903
60,94932,CC(C)(C1CCC(CC1)O)C2CCC(CC2)O,15907919,S,,240.387,85656
61,2724019,C1CCC(C(C1)CO)CO,15915800,S,,144.214,77487
62,11217323,C1CCC(C(C1)CO)CO,16000198,S,,144.214,77487
63,3126233,CCCCCC1CCC(CC1)C2CCC(CC2)O,16003821,S,,252.442,2379635
64,69485,CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCCCC,16015529,S,,550.953,62691
65,75779,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,22183496,S,,452.808,68290
66,6885,C1C2=CC=CC=C2C(=O)O1,121167,S,,134.134,6621
67,5192,C(CCCCC(=O)O)CCCC(=O)O,120056,S,1.2,202.25,5004
68,12736,C(CCCCCC(=O)O)CCCCC(=O)O,15892807,S,,230.304,12213
69,7391,CC(C)(C)C1CCC(CC1)O,120382,S,,156.269,7113
70,1254,CC1CCC(C(C1)O)C(C)C,119740,S,0.904,156.269,1216
71,10457,C(CCCC(=O)O)CCC(=O)O,119018,S,,174.196,10025
72,8298,CC1CC(CC(C1)(C)C)O,16844021,S,,142.242,7997
73,642371,C1=CC=C(C=C1)C=C2C3=CC=CC=C3C(=O)O2,567737,S,,222.243,610569
74,10467,CCCCCCCCCCCCCCCCCCCC(=O)O,15839825,S,,312.538,10035
75,77237,C(CCCCCO)CCCCC(=O)O,5394200,S,,202.294,69664
76,10458,C(CCCCCC(=O)O)CCCCCC(=O)O,5381208,S,,244.331,10026
77,160576,C(CCCCCCC(=O)O)CCCCCCC(=O)O,16010374,S,,272.385,141102
78,11042078,CC(CO)C1CCC2C1(CCCC2O)C,17343723,S,,212.333,14718879
79,13099,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,1588888,S,,270.284,12551
80,170805,CC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,2679543,S,,226.275,149331
81,1394187,CC1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC,2679583,S,,226.275,1163375
82,23005364,B(C1=CC=C(C=C1)C(=O)OCCC)(O)O,4113802,S,,208.02,12951174
83,4112125,COC(=O)C1=CC=C(C=C1)C2=CC=CC=C2C=O,4113834,S,,240.258,3325754
84,1393873,CC1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC,4114791,S,,226.275,1163270
85,5910650,CC1=CC=C(C=C1)C(=O)OC=CC(=O)OC,5093990,S,,220.224,4744004
86,519631,CCOC(=O)C1=C(C=CC=C1F)F,8947914,S,,186.158,453259
87,17141,CC1(CCC(CC1)C(C)(C)O)O.O,16013500,S,,190.283,16225
88,46738073,[B-](C1=CC=C(C=C1)C(=O)OCC)(F)(F)F.[K+],16339828,S,,256.073,24602490
89,16666,CC1CCC(C(C1)O)C(C)C,16842647,S,0.904,156.269,1216
90,57712187,CC(CO)C1CCC2C1(CCCC2O)C,22193598,S,,212.333,14718879
91,582534,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C#N,2474881,S,,237.258,506336
92,21584,CC1CC(CC(C1)O)C,9156899,S,,128.215,20286
93,18920184,CCOC(=O)C1=C(C=C(C=C1)F)C,6293745,S,,182.194,13957420
94,57449962,CC(C)(C1CCC(CC1)O)C(=O)O,24162794,S,,186.251,34215780
95,139743,COC(=O)CC1CCCCC1,8910111,S,,156.225,123239
96,97959,CC1CCC(C(C1)O)C,6229596,S,,128.215,88432
97,7735,C1CC(CCC1CO)CO,15833096,S,,144.214,7449
98,263144,C1C(OC(=O)C2=CC=CC=C21)C3=CC=CC=C3,1145957,S,,224.259,231138
99,2754189,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,2705556,S,,276.464,542037
100,2749143,C1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)CCOC(=O)C3=CC=CC=C3,4900825,S,,374.436,2030493
101,2750563,CC(C)C(CCC(C)(C(C(C)C)O)O)CO,4901121,S,,232.364,2031825
102,2752851,CC(=O)OC(CCC(=O)C1=CC=CC=C1)C2=CC=CC=C2,4901905,S,,282.339,2033925
103,2754138,CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O,4902137,S,,276.464,388361
104,2755159,CC1(C(CCC=CC1O)O)C,4902645,S,,156.225,2035999
105,2747987,CC(C)C1CCCCC1O,4903434,S,,142.242,86028
106,612593,CC(CCCO)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4903439,S,,346.599,532510
107,11301,CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O,4903575,S,,292.463,10826
108,2748126,CC12CCCCC1(C3CCC4(C(CCC4(C3CC2)C)O)C)C,4903604,S,,304.518,4310549
109,2748131,CC12CCCC1C3CCC4(CC(CCC4(C3CC2)C)O)C,4903627,S,,290.491,3559384
110,4901,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4903632,S,,320.517,190585
111,2748166,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,4903645,S,,350.543,3099395
112,2748135,CC(C1(CC2C3CCC4(CC(CCC4(C3CCC2(C1)C)C)O)C)O)O,4903649,S,,350.543,3182764
113,2748136,CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O)C)O,4903650,S,,306.49,240351
114,623919,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,4903651,S,,276.464,542037
115,2748170,CCC1(CCC2(C3CCC4(C(C3CCC2(C1)C)CCC4O)C)C)O,4903668,S,,334.544,2852810
116,2748240,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,4903788,S,,350.543,3099395
117,2748241,CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4903793,S,,336.516,451885
118,2749621,CCCC(C(CC)(C1CCCCC1)O)O,4905073,S,,214.349,2030950
119,2750154,CC1(C2CCC1(C(C2CCO)O)C)C,4905463,S,,198.306,2031442
120,2750414,C1=CC=C(C=C1)C(CCOC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,4905729,S,,360.409,2031688
121,2750747,CC1CCC(C1(C)C)(C)C(CO)O,4905936,S,,186.295,2032007
122,2750726,CC1CCC(C1(C)C)(C)CO,4906034,S,,156.269,2031986
123,5705611,C1C(OC(=O)C2=CC=CC=C21)C=CC3=CC=CC=C3,4907614,S,,250.297,4645187
124,2754261,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,4909035,S,,388.68,3127
125,2755160,CC1=CCCC(C(C1O)(C)C)O,4909714,S,,170.252,2036000
126,75851,CC1(CC(CC(C1)(C)C)O)C,6282591,S,,156.269,68359
127,2750589,CC1(C(CCC1(C)CO)CO)C,16038000,S,,172.268,2031851
128,84820163,C=C(CCCCCC(=C)CO)CO,24262777,S,,184.279,29785548
129,578221,CC1(C2CC3C1(C3C2)C)CO,24262936,S,,152.237,502617
130,11831365,COC(=O)CCCCCCCCC(CF)O,24263949,S,,234.311,10006012
131,15568593,CC(C)(C(C1CCCCC1)O)O,24263952,S,,172.268,34965833
132,11022861,COC(=O)CCCCCCCCC(CBr)F,24263961,S,,297.208,9198043
133,6436867,CC=CCCCCCCCCO,24264141,S,,170.296,4941474
134,87212466,C(CCCCO)CCCC=CCCCCCCCCO,26669941,S,,284.484,26324082
135,11832052,C(CCCC=CCCCCCCCO)CCCO,26669942,S,,256.43,10006699
136,2773251,B(C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2)(O)O,1539322,S,,256.064,2053673
137,2734363,B(C1=CC(=CC=C1)C(=O)OC(C)C)(O)O,15838554,S,,208.02,2016115
138,2734703,B(C1=CC=C(C=C1)C(=O)OC(C)C)(O)O,15838560,S,,208.02,2016447
139,2773249,B(C1=CC(=CC=C1)C(=O)OCC2=CC=CC=C2)(O)O,15839321,S,,256.064,2053671
140,13185,C(CCCCCCC(=O)O)CCCCCC(=O)O,15839774,S,,258.358,12630
141,89670,CCCCCCCCCCCC(=O)CC(=O)OC,15901948,S,,256.386,80932
142,4050097,CC12CC3CC(C1)(CC(C3)(C2)CO)C,1056900,S,,194.318,3265991
143,5375161,COC(=O)C=CC1=CC=C(C=C1)C(=O)OC,8392074,S,,220.224,4524714
144,46311439,CCOC(=O)C1=CC(=C(C(=C1)F)F)F,12488407,S,,204.148,23348722
145,6442063,CCCCCCCCCC=CC=CC=CC=CC=CC=CC(=O)O,16013070,,,328.496,4946166
146,67878,COC(=O)C1=CC=C(C=C1)F,295905,,1.19,154.14,61195
147,67854,COC(=O)C1=CC=CC=C1F,1428541,,,154.14,61171
148,142891,CCOC(=O)C1=CC=C(C=C1)I,5258847,,,276.073,126059
149,88630,CCCCC1=CC=C(C=C1)C(=O)OC,6229551,,,192.258,79968
150,67953,CCOC(=O)C1=CC=CC=C1F,8948024,,,168.167,61268
151,11275239,C=CCCCC(CCCC=C)O,25141964,,,168.28,9450239
152,164822,CC1CCCCC1(C)O,9996121,,,128.215,144494
153,137829,CC(C1CCCCC1)O,9157819,,,128.215,121479
154,557637,CC1(CCCCC1O)C,18400514,,,128.215,484756
155,2750694,CCC1(CCCC(C1)C)O,4906078,,,142.242,2031956
156,2750695,CCC1(CC(CCC1C)C(C)C)O,4906087,,,184.323,2031957
157,86850,CC1CCC(CC1O)C(C)C,4906088,,,156.269,78347
158,8139,CCCCCCCCCCCC(=O)OC,4910323,,,214.349,7847
159,31284,CCCCCCCCCCCCCC(=O)OC,4910358,,,242.403,29024
160,5364449,CCCCC=CCCCC,6228218,,,140.27,553406
161,140543,CCCCC(C(C)(C)C)O,11018651,,,144.258,123957
162,643789,CC=CCO,16009829,,,72.107,13871721
163,84820164,CC(=C)CCCCCC(=C)CO,24262779,,,168.28,29785549
164,12397158,CCCCCCC=CC=CC,24262869,,,152.281,14665618
165,84820213,CCCCCC=CC(C)(C)C,24262871,,,154.297,29785594
166,84820215,CC(C)(C)C=CC=CC(C(C)(C)C)O,24262873,,,196.334,29786083
167,5364444,CCCCCCC=CCCCC,24262897,,,168.324,4516597
168,12525554,CCCCCC=CC(C)C=C,24262911,,,152.281,29786087
169,15527754,CCCCCCC(C(=CC)C)O,24262916,,,170.296,29786088
170,14840125,CCC=CCCCCC=CCC,24263044,,,166.308,4517555
171,5365981,CCCCCC=CC(C)C,24263045,,,140.27,4517914
172,84820295,CCCCCC=CC(C)(C)C,24263046,,,154.297,29785594
173,84820296,CCCCCC=CC(C)C,24263047,,,141.276,4517914
174,12768714,CCCCCCC=C(C)C(C)O,24263050,,,170.296,29786090
175,5367410,CCCCCC=CC=CC=C,24263056,,,150.265,4518922
176,58361173,CCCCCC=CCC=CC,24263058,,,152.281,4935015
177,10012561,CCCCC=CC(C(F)(F)F)O,24263117,,,182.186,8188135
178,84820355,CCCCC(C=CCO[Si](C)(C)C(C)(C)C)O,24263164,,,258.477,29786103
179,13355478,CC#CCCCCCCCC(=O)OC,24264137,,,196.29,34965770
180,12276242,CCCCCCC=CC=C,24264252,,,138.254,4934972
181,5365770,CCCCCCC=CC(C)O,24264260,,,156.269,4517718
182,5352493,CCCCCCC=CCCO,24264262,,,156.269,4509366
183,84820829,CC(=CCCC1(CCCC(C1)(C)C)C)CO,24264291,,,224.388,53608294
184,15695189,CC1(C2CC(C(=C)C1C2)CO)C,24264293,,,166.264,34965931
185,66743,CCOC(=O)C1=CC=C(C=C1)C,5198691,,,164.204,60109
186,144790,CCOC(=O)C1=CC(=CC=C1)C(F)(F)F,5257791,,,218.175,127743
187,79509,CC(CO)C1CCCCC1,6228465,,,142.242,71819
188,13489923,CCOC(=O)C1=CC(=C(C=C1)C)F,9147067,,,182.194,11487649
189,558957,CC1CCCC(C1)(C)O,9996015,,,128.215,485905
190,11830138,CCCCC(=O)CCC(=O)OCC,10910401,,,186.251,10004785
191,12271529,CCCC(=O)CCC(=O)OCC,10910511,,,172.224,13510152
192,20739,CC(C)C1CCC(CC1)O,12000610,,,142.242,19528
193,23190866,CCOCCCCCC(=O)O,13620056,,,160.213,28537281
194,102495,CCCCCCC(C)CO,13993199,,,144.258,92570
195,61137,CCCCC(=O)OCCCC,15839693,,,158.241,55084
196,97948,CCCCC(CC)CCC(CC(C)C)O,16009845,,,214.393,88421
197,11745391,CC(C)CCC(CO)(CO)C(C)C,16844938,,,188.311,9920095
